user_input,bot_response
أين أقرب مخرج من موقعي؟ (تكرار 1999),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 1999),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 1999),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 1999),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 1999),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 1999),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 1999),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 1999),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 1999),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2000),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2000),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2000),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2000),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2000),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2000),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2000),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2000),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2000),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2000),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2001),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2001),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2001),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2001),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2001),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2001),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2001),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2001),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2001),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2001),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2002),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2002),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2002),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2002),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2002),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2002),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2002),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2002),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2002),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2002),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2003),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2003),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2003),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2003),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2003),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2003),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2003),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2003),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2003),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2003),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2004),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2004),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2004),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2004),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2004),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2004),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2004),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2004),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2004),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2004),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2005),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2005),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2005),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2005),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2005),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2005),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2005),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2005),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2005),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2005),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2006),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2006),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2006),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2006),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2006),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2006),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2006),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2006),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2006),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2006),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2007),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2007),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2007),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2007),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2007),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2007),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2007),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2007),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2007),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2007),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2008),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2008),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2008),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2008),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2008),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2008),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2008),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2008),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2008),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2008),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2009),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2009),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2009),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2009),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2009),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2009),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2009),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2009),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2009),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2009),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2010),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2010),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2010),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2010),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2010),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2010),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2010),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2010),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2010),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2010),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2011),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2011),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2011),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2011),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2011),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2011),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2011),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2011),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2011),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2011),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2012),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2012),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2012),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2012),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2012),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2012),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2012),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2012),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2012),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2012),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2013),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2013),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2013),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2013),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2013),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2013),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2013),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2013),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2013),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2013),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2014),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2014),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2014),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2014),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2014),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2014),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2014),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2014),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2014),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2014),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2015),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2015),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2015),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2015),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2015),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2015),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2015),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2015),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2015),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2015),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2016),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2016),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2016),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2016),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2016),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2016),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2016),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2016),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2016),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2016),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2017),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2017),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2017),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2017),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2017),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2017),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2017),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2017),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2017),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2017),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2018),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2018),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2018),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2018),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2018),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2018),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2018),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2018),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2018),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2018),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2019),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2019),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2019),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 2019),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 2019),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 2019),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 2019),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 2019),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 2019),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 2019),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 2020),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 2020),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 2020),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
